date,unrate,claimrate,cclaimrate,cunrate,labforce,initclaims_1wdelay,contclaims_1wdelay,initclaims,contclaims,totclaims,totclaims_1wdelay,claimrate_1wdelay,cclaimrate_1wdelay,cclaimrate2,cclaimrate_1wdelay2,cunrate_1cclaimrate_1wdelay
01jan1967,3.9000001,,,,76639,217000,1119000,207000,1119000,1326000,1336000,,,,,
01feb1967,3.8,1.8215269,,-.10000014,76521,242000,1199000,229000,1167000,1396000,1441000,1.8802438,,,,
01mar1967,3.8,1.9354165,.11388958,0,76328,247000,1268000,245000,1236000,1481000,1515000,1.9798486,.099604845,.012970835,.0099211251,-.0099604987
01apr1967,3.8,2.0660832,.13066673,0,76777,245000,1277000,299000,1278000,1577000,1522000,1.9940258,.014177203,.017073795,.00020099309,0
01may1967,3.8,1.9732472,-.092836022,0,76773,230000,1265000,231000,1284000,1515000,1495000,1.9471977,-.046828151,.0086185271,.0021928756,0
01jun1967,3.9000001,1.9173408,-.055906415,.10000014,77270,218000,1220000,224000,1248000,1472000,1438000,1.8730544,-.074143291,.0031255272,.0054972274,0
01jul1967,3.8,1.9399508,.022610068,-.10000014,77464,240000,1252000,241000,1258000,1499000,1492000,1.9308916,.057837248,.00051121518,.0033451472,.005783733
01aug1967,3.8,1.8292369,-.11071396,0,77712,215000,1202000,202000,1215000,1417000,1417000,1.8292369,-.10165477,.012257581,.010333692,.010165491
01sep1967,3.8,1.8002368,-.029000044,0,77812,209000,1178000,220000,1179000,1399000,1387000,1.7847952,-.0444417,.00084100256,.0019750646,0
01oct1967,4,1.7927825,-.0074542761,.20000005,78194,223000,1174000,206000,1189000,1395000,1397000,1.7953529,.010557771,.000055566234,.00011146652,0
01nov1967,3.9000001,1.7021767,-.090605855,-.099999905,78191,191000,1142000,198000,1133000,1331000,1333000,1.7047343,-.09061861,.0082094213,.0082117328,-.018123727
01dec1967,3.8,1.780256,.078079343,-.10000014,78491,219000,1195000,204000,1188000,1392000,1414000,1.8083923,.10365796,.0060963836,.010744973,-.010365786
01jan1968,3.7,1.7951102,.014854193,-.099999905,77578,221000,1191000,222000,1187000,1409000,1412000,1.7989323,-.0094599724,.00022064704,.000089491077,.00094599859
01feb1968,3.8,1.7260048,-.069105387,.099999905,78230,193000,1165000,196000,1143000,1339000,1358000,1.7504963,-.048436046,.0047755544,.0023460505,.0048436001
01mar1968,3.7,1.7039499,-.022054911,-.099999905,78256,200000,1136000,190000,1143000,1333000,1336000,1.7077848,-.042711496,.00048641907,.0018242719,-.0042711454
01apr1968,3.5,1.5973216,-.1066283,-.20000005,78270,183000,1059000,171000,1079000,1250000,1242000,1.5870987,-.12068605,.011369594,.014565123,.012068594
01may1968,3.5,1.6225885,.025266886,0,78847,194000,1073000,199000,1071000,1270000,1267000,1.6187556,.031656861,.00063841551,.0010021569,-.0063313739
01jun1968,3.7,1.604373,-.018215537,.20000005,79120,189000,1060000,194000,1071000,1265000,1249000,1.5840806,-.034675002,.00033180579,.0012023557,0
01jul1968,3.7,1.5950454,-.0093275309,0,78970,180000,1033000,186000,1076000,1262000,1213000,1.5331143,-.050966263,.000087002831,.0025975599,-.010193255
01aug1968,3.5,1.6449285,.049883008,-.20000005,78811,193000,1094000,192000,1107000,1299000,1287000,1.6297328,.096618533,.0024883144,.0093351407,0
01sep1968,3.4000001,1.5721155,-.072812915,-.099999905,78858,191000,1047000,195000,1044000,1239000,1238000,1.5708467,-.05888617,.0053017205,.003467581,.011777237
01oct1968,3.4000001,1.5610337,-.011081815,0,78913,191000,1035000,186000,1045000,1231000,1226000,1.5546932,-.016153455,.00012280662,.00026093409,.001615344
01nov1968,3.4000001,1.6068329,.045799136,0,79209,199000,1023000,192000,1076000,1268000,1222000,1.5485408,-.0061523914,.0020975608,.000037851922,0
01dec1968,3.4000001,1.5856783,-.021154523,0,79463,192000,1063000,195000,1061000,1256000,1255000,1.5844159,.035875082,.00044751383,.0012870216,0
01jan1969,3.4000001,1.5906774,.0049990416,0,79523,193000,1077000,192000,1072000,1264000,1270000,1.5982281,.013812184,.000024990417,.00019077644,0
01feb1969,3.4000001,1.6435497,.0528723,0,80019,192000,1092000,192000,1115000,1307000,1284000,1.6146272,.016399145,.0027954802,.00026893197,0
01mar1969,3.4000001,1.5858734,-.057676315,0,80079,181000,1071000,189000,1080000,1269000,1252000,1.5646284,-.049998879,.0033265573,.002499888,0
01apr1969,3.4000001,1.5484709,-.037402511,0,80281,187000,1025000,190000,1050000,1240000,1212000,1.5135055,-.051122904,.0013989478,.0026135512,0
01may1969,3.4000001,1.4773109,-.071159959,0,80125,180000,1006000,179000,1007000,1186000,1186000,1.4773109,-.036194563,.0050637396,.0013100464,0
01jun1969,3.5,1.4876755,.010364652,.099999905,80696,191000,1012000,182000,1010000,1192000,1203000,1.501404,.024093151,.00010742601,.00058047991,0
01jul1969,3.5,1.6134629,.12578738,0,80827,206000,1072000,210000,1092000,1302000,1278000,1.5837216,.082317591,.015822465,.0067761857,.0082317516
01aug1969,3.5,1.5663083,-.047154665,0,81106,199000,1060000,199000,1067000,1266000,1259000,1.5576478,-.026073813,.0022235624,.00067984377,0
01sep1969,3.7,1.5917442,.025435925,.20000005,81290,195000,1083000,209000,1082000,1291000,1278000,1.5757158,.018067956,.00064698624,.00032645103,0
01oct1969,3.7,1.6201255,.028381348,0,81494,205000,1136000,199000,1118000,1317000,1341000,1.6496494,.073933601,.00080550089,.0054661776,.014786724
01nov1969,3.5,1.690922,.07079649,-.20000005,81397,217000,1158000,197000,1181000,1378000,1375000,1.6872407,.037591338,.0050121429,.0014131087,0
01dec1969,3.5,1.7875352,.096613169,0,81624,232000,1252000,222000,1233000,1455000,1484000,1.823163,.13592231,.0093341041,.018474875,-.02718447
01jan1970,3.9000001,2.0079877,.22045255,.4000001,81981,256000,1388000,268000,1371000,1639000,1644000,2.0141134,.19095039,.048599325,.036462054,0
01feb1970,4.1999998,2.085849,.077861309,.29999971,82151,271000,1412000,265000,1445000,1710000,1683000,2.0529146,.038801193,.0060623833,.0015055327,.015520481
01mar1970,4.4000001,2.1022265,.016377449,.20000029,82498,264000,1498000,271000,1456000,1727000,1762000,2.1448309,.091916323,.00026822084,.0084486101,.027574871
01apr1970,4.5999999,2.4570293,.35480285,.19999981,82727,349000,1748000,374000,1653000,2027000,2097000,2.5418799,.39704895,.12588505,.15764786,.079409905
