date,unrate,claimrate,claimrate_1wdelay,labforce,initclaims_1wdelay,contclaims_1wdelay,initclaims,contclaims,totclaims,totclaims_1wdelay,unrate_1,unrate_2,unrate_3,unrate_4,unrate_5,unrate_6,unrate_7,unrate_8,unrate_9,unrate_10,unrate_11,unrate_12,claimrate_1,claimrate_2,claimrate_3,claimrate_4,claimrate_5,claimrate_6,claimrate_7,claimrate_8,claimrate_9,claimrate_10,claimrate_11,claimrate_12,claimrate_1wdelay_1,claimrate_1wdelay_2,claimrate_1wdelay_3,claimrate_1wdelay_4,claimrate_1wdelay_5,claimrate_1wdelay_6,claimrate_1wdelay_7,claimrate_1wdelay_8,claimrate_1wdelay_9,claimrate_1wdelay_10,claimrate_1wdelay_11,claimrate_1wdelay_12
01jan1967,3.9000001,,,76639,217000,1119000,207000,1119000,1326000,1336000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01feb1967,3.8,1.8215269,1.8802438,76521,242000,1199000,229000,1167000,1396000,1441000,3.9000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01mar1967,3.8,1.9354165,1.9798486,76328,247000,1268000,245000,1236000,1481000,1515000,3.8,3.9000001,,,,,,,,,,,1.8215269,,,,,,,,,,,,1.8802438,,,,,,,,,,,
01apr1967,3.8,2.0660832,1.9940258,76777,245000,1277000,299000,1278000,1577000,1522000,3.8,3.8,3.9000001,,,,,,,,,,1.9354165,1.8215269,,,,,,,,,,,1.9798486,1.8802438,,,,,,,,,,
01may1967,3.8,1.9732472,1.9471977,76773,230000,1265000,231000,1284000,1515000,1495000,3.8,3.8,3.8,3.9000001,,,,,,,,,2.0660832,1.9354165,1.8215269,,,,,,,,,,1.9940258,1.9798486,1.8802438,,,,,,,,,
01jun1967,3.9000001,1.9173408,1.8730544,77270,218000,1220000,224000,1248000,1472000,1438000,3.8,3.8,3.8,3.8,3.9000001,,,,,,,,1.9732472,2.0660832,1.9354165,1.8215269,,,,,,,,,1.9471977,1.9940258,1.9798486,1.8802438,,,,,,,,
01jul1967,3.8,1.9399508,1.9308916,77464,240000,1252000,241000,1258000,1499000,1492000,3.9000001,3.8,3.8,3.8,3.8,3.9000001,,,,,,,1.9173408,1.9732472,2.0660832,1.9354165,1.8215269,,,,,,,,1.8730544,1.9471977,1.9940258,1.9798486,1.8802438,,,,,,,
01aug1967,3.8,1.8292369,1.8292369,77712,215000,1202000,202000,1215000,1417000,1417000,3.8,3.9000001,3.8,3.8,3.8,3.8,3.9000001,,,,,,1.9399508,1.9173408,1.9732472,2.0660832,1.9354165,1.8215269,,,,,,,1.9308916,1.8730544,1.9471977,1.9940258,1.9798486,1.8802438,,,,,,
01sep1967,3.8,1.8002368,1.7847952,77812,209000,1178000,220000,1179000,1399000,1387000,3.8,3.8,3.9000001,3.8,3.8,3.8,3.8,3.9000001,,,,,1.8292369,1.9399508,1.9173408,1.9732472,2.0660832,1.9354165,1.8215269,,,,,,1.8292369,1.9308916,1.8730544,1.9471977,1.9940258,1.9798486,1.8802438,,,,,
01oct1967,4,1.7927825,1.7953529,78194,223000,1174000,206000,1189000,1395000,1397000,3.8,3.8,3.8,3.9000001,3.8,3.8,3.8,3.8,3.9000001,,,,1.8002368,1.8292369,1.9399508,1.9173408,1.9732472,2.0660832,1.9354165,1.8215269,,,,,1.7847952,1.8292369,1.9308916,1.8730544,1.9471977,1.9940258,1.9798486,1.8802438,,,,
